ticker,n_trades,matrix_avg_net_delta,matrix_sharpe,matrix_hit_rate,matrix_total_pnl,matrix_max_dd,baseline_avg_net_delta,baseline_sharpe,baseline_total_pnl,baseline_max_dd,buyhold_sharpe_overlapping,buyhold_sharpe_true_daily,buyhold_total_pnl,buyhold_max_dd,edge_vs_baseline,edge_vs_buyhold
BAC,605,0.05347107438016529,0.4313267448380774,0.23140495867768596,0.6337882690410324,-0.28694110250522215,0.14999999999999997,1.1043560483071442,1.8030716709135248,-0.6657506242649234,1.104356048307144,0.30332870830193487,12.020477806090165,-4.438337495099489,-0.6730293034690668,-0.6730293034690665
BA,605,0.05652892561983471,0.6677583136147712,0.2512396694214876,0.6187618871528202,-0.36530446785880166,0.14999999999999997,1.3844597295366703,1.5470047425243396,-0.5730653523265834,1.3844597295366703,0.40940033255143876,10.313364950162264,-3.8204356821772176,-0.7167014159218991,-0.7167014159218991
MRK,605,0.0643801652892562,1.1141968989227309,0.2743801652892562,0.7173689308133038,-0.1888770385350188,0.14999999999999997,1.8680281256390814,1.3259263768636598,-0.106855981273413,1.8680281256390818,0.5422878651822183,8.839509179091067,-0.7123732084894199,-0.7538312267163505,-0.7538312267163509
CVX,605,0.05644628099173555,0.16861617566946474,0.21322314049586777,0.12191867450922722,-0.30543951464097013,0.14999999999999997,0.9343517488356916,0.7475324631688572,-0.27935735915355253,0.9343517488356916,0.49618703233471134,4.983549754459048,-1.8623823943570184,-0.7657355731662269,-0.7657355731662269
TGT,605,0.06256198347107439,0.6354888066027997,0.20826446280991737,0.47321631596151026,-0.14851480783427878,0.14999999999999997,1.4585669770790137,1.3754088871056664,-0.23474319255435028,1.4585669770790137,0.37948677571093853,9.169392580704443,-1.5649546170290067,-0.823078170476214,-0.823078170476214
NVDA,605,0.05710743801652892,1.10708246209272,0.27107438016528923,1.869793150803815,-0.3628275617097382,0.14999999999999997,1.937462364011495,3.0337026388585304,-0.39417495020955184,1.937462364011495,0.9212911528576604,20.224684259056872,-2.6278330013970135,-0.830379901918775,-0.830379901918775
LLY,605,0.05983471074380166,1.284506420435111,0.2991735537190083,0.9815941709923528,-0.15540633253854258,0.14999999999999997,2.131227331475198,1.5992344806275498,-0.11264847389676858,2.1312273314751975,0.7697669840614416,10.661563204183667,-0.7509898259784578,-0.8467209110400868,-0.8467209110400864
CSCO,605,0.06024793388429753,0.613333861445663,0.24958677685950414,0.5253849176565769,-0.3013397193156876,0.14999999999999997,1.4741706585384964,1.4279959708700156,-0.3184662676064447,1.4741706585384962,0.5053435247784207,9.519973139133437,-2.1231084507096325,-0.8608367970928333,-0.8608367970928331
WMT,605,0.04719008264462811,0.6750376243982398,0.21487603305785125,0.35920084894831394,-0.13258793945889516,0.14999999999999997,1.537958127409896,0.9198451193050757,-0.2346066019743983,1.537958127409896,0.609434246666295,6.132300795367172,-1.564044013162658,-0.8629205030116561,-0.8629205030116561
AMD,605,0.06652892561983471,0.8195284271164613,0.23471074380165288,1.9715003773298216,-0.4998271438599844,0.14999999999999997,1.7204166894620834,4.1029425754407605,-0.7940132442038561,1.7204166894620838,0.5476580447683964,27.352950502938405,-5.293421628025709,-0.900888262345622,-0.9008882623456225
