ticker,n_trades,matrix_sharpe,matrix_total_pnl,matrix_max_dd,matrix_avg_abs_nd,matrix_pct_flat,matrix_premium_sharpe,matrix_premium_total_pnl,variant_sharpe,variant_total_pnl,variant_max_dd,variant_avg_abs_nd,variant_pct_flat,variant2_sharpe,variant2_total_pnl,variant2_avg_abs_nd,baseline_sharpe,buyhold_sharpe_overlapping,buyhold_sharpe_true_daily,variant_vs_matrix,variant_vs_buyhold,variant2_vs_variant,variant2_vs_buyhold,matrix_premium_vs_matrix,matrix_premium_vs_buyhold,matrix_vs_buyhold
C,729,-0.17500571337733356,-0.29837646980957216,-0.6786050235747083,0.06769547325102881,65.4320987654321,-0.25548830299810127,-0.43487646980957206,0.06521769473245297,0.5368807172642693,-3.242889761458542,0.5735044356303992,0.0,0.06521769473245297,0.5368807172642693,0.5735044356303992,0.8936537864874909,0.8936537864874912,0.15960456550899255,0.24022340810978654,-0.8284360917550382,0.0,-0.8284360917550382,-0.08048258962076771,-1.1491420894855924,-1.0686594998648247
SBUX,729,0.9197798930371565,0.8016065061738402,-0.2332047343505621,0.06515775034293553,66.94101508916323,0.9353111924733802,0.84160650617384,1.1314600821141654,4.965286441356245,-0.8441421553971681,0.5770023780172305,0.0,1.1314600821141654,4.965286441356245,0.5770023780172305,1.8973313786669164,1.8973313786669168,0.48703097874751927,0.21168018907700892,-0.7658712965527514,0.0,-0.7658712965527514,0.015531299436223778,-0.9620201861935366,-0.9775514856297604
VZ,729,0.8834138413140299,0.556581642201897,-0.08037988102938591,0.06934156378600824,64.88340192043896,0.8284379843592111,0.5320816422018968,1.0442091824389206,3.3814478596836195,-0.7114634958004453,0.5721326935179164,0.0,1.0442091824389206,3.3814478596836195,0.5721326935179164,1.1336120590248657,1.1336120590248655,0.3959204874034887,0.1607953411248907,-0.08940287658594492,0.0,-0.08940287658594492,-0.05497585695481877,-0.3051740746656544,-0.2501982177108356
NKE,729,0.28113910302238443,0.24957210948398217,-0.3377940143368403,0.0646090534979424,67.3525377229081,0.31722027282047166,0.2955721094839821,0.4270187725029013,1.9351002878279078,-2.3547319081410434,0.5703494287716887,0.0,0.4270187725029013,1.9351002878279078,0.5703494287716887,0.9144845123555785,0.9144845123555785,0.3988398337889095,0.1458796694805169,-0.48746573985267716,0.0,-0.48746573985267716,0.03608116979808723,-0.5972642395351069,-0.633345409333194
CSCO,729,0.558386774433769,0.5253845468226301,-0.30134057819281285,0.06220850480109741,67.3525377229081,0.5909463316607376,0.57388454682263,0.6768609651750233,2.9414396396262235,-2.0595981390263387,0.572338454834789,0.0,0.5694922190659021,2.319864731638477,0.5131298550858728,1.404115481175128,1.404115481175128,0.5053436666697899,0.1184741907412542,-0.7272545160001047,-0.10736874610912117,-0.8346232621092259,0.03255955722696857,-0.8131691495143903,-0.8457287067413589
TGT,729,0.5785301887466535,0.47321609668916437,-0.14851522199268427,0.061111111111111116,68.86145404663924,0.6300493482540561,0.5337160966891643,0.6743601132394438,3.1319520275700685,-1.6518560183605153,0.5768652038059823,0.0,0.6743601132394438,3.1319520275700685,0.5768652038059823,0.8656302995175361,0.8656302995175362,0.3794868683059097,0.09582992449279026,-0.19127018627809245,0.0,-0.19127018627809245,0.0515191595074026,-0.2355809512634801,-0.2871001107708827
MS,729,0.3638417065640481,0.4103971541467708,-0.2025234405201916,0.057201646090534984,69.27297668038409,0.2962299541633736,0.32739715414677073,0.4297289451269683,2.376877748682595,-2.2958611334209245,0.5722012806235406,0.0,0.4297289451269683,2.376877748682595,0.5722012806235406,1.0231540605473428,1.0231540605473426,0.42035443066056427,0.06588723856292023,-0.5934251154203742,0.0,-0.5934251154203742,-0.06761175240067446,-0.726924106383969,-0.6593123539832946
SCHW,729,0.33918975493389003,0.36693376836230784,-0.3561225166613796,0.07373113854595337,61.72839506172839,0.2151930506750751,0.2344337683623078,0.32532904773011656,1.7160518422863915,-2.6500043142590193,0.5704180158773129,0.0,0.32532904773011656,1.7160518422863915,0.5704180158773129,0.7032087896780964,0.7032087896780964,0.4972662182972142,-0.01386070720377347,-0.37787974194797985,0.0,-0.37787974194797985,-0.12399670425881493,-0.4880157390030213,-0.3640190347442064
WFC,729,0.007009705659055295,0.006502908587986335,-0.1918291390422931,0.05438957475994514,70.50754458161865,-0.012820453068393058,-0.011997091412013654,-0.04788035433944278,-0.24682771382087298,-1.894597696557602,0.5682918156029645,0.0,-0.04788035433944278,-0.24682771382087298,0.5682918156029645,0.8970274584448101,0.8970274584448101,0.38425302935527555,-0.054890059998498074,-0.944907812784253,0.0,-0.944907812784253,-0.019830158727448352,-0.9098479115132032,-0.8900177527857548
COP,729,0.44355624449676206,0.45144319427197843,-0.2304965724314824,0.07613168724279835,62.96296296296296,0.3505574428525454,0.36144319427197835,0.3379928322227489,1.7518387263292146,-2.2859496655223817,0.5776196619678478,0.0,0.3379928322227489,1.7518387263292146,0.5776196619678478,0.7191700962144879,0.719170096214488,0.44429445079711505,-0.10556341227401317,-0.3811772639917391,0.0,-0.3811772639917391,-0.09299880164421664,-0.3686126533619426,-0.27561385171772596
GS,729,0.8777260991693369,0.8244022021110355,-0.21930165095015586,0.0626886145404664,67.90123456790124,0.7489261766846653,0.6914022021110356,0.7121043986055376,3.563486532938737,-1.1381919118928074,0.5719955193066681,0.0,0.7121043986055376,3.563486532938737,0.5719955193066681,1.0788910843209218,1.0788910843209218,0.5314923465060162,-0.1656217005637992,-0.3667866857153842,0.0,-0.3667866857153842,-0.12879992248467154,-0.3299649076362565,-0.20116498515158499
ADBE,729,0.6921479207115515,0.6821394091414763,-0.2193823000956716,0.0697530864197531,65.29492455418381,0.6429093288068525,0.6356394091414762,0.49717969122880934,2.338218187173059,-2.6320717470805093,0.5747390035316338,0.0,0.37294582671904847,1.5852457294723687,0.5165890844790245,1.1595110920628837,1.1595110920628837,0.437220246819448,-0.19496822948274217,-0.6623314008340744,-0.12423386450976087,-0.7865652653438353,-0.049238591904699036,-0.5166017632560312,-0.4673631713513322
BAC,729,0.39281142394831925,0.6337883808712876,-0.2869411393557487,0.06426611796982168,67.07818930041152,0.34323024641866484,0.5472883808712876,0.06379570810117496,0.4938447848190983,-3.125766262520638,0.5736416098416476,0.0,0.06379570810117496,0.4938447848190983,0.5736416098416476,0.9338243492683318,0.9338243492683317,0.3033286671416714,-0.3290157158471443,-0.8700286411671567,0.0,-0.8700286411671567,-0.04958117752965441,-0.5905941028496668,-0.5410129253200124
